listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
561418072780605554,2022-12-01,t,$20.00,$20.00,1,365
561418072780605554,2022-12-02,t,$20.00,$20.00,1,365
561418072780605554,2022-12-03,t,$20.00,$20.00,1,365
561418072780605554,2022-12-04,t,$20.00,$20.00,1,365
561418072780605554,2022-12-05,t,$20.00,$20.00,1,365
561418072780605554,2022-12-06,t,$20.00,$20.00,1,365
561418072780605554,2022-12-07,t,$20.00,$20.00,1,365
561418072780605554,2022-12-08,t,$20.00,$20.00,1,365
561418072780605554,2022-12-09,t,$20.00,$20.00,1,365
561418072780605554,2022-12-10,t,$20.00,$20.00,1,365
561418072780605554,2022-12-11,t,$20.00,$20.00,1,365
561418072780605554,2022-12-12,t,$20.00,$20.00,1,365
561418072780605554,2022-12-13,t,$20.00,$20.00,1,365
561418072780605554,2022-12-14,t,$20.00,$20.00,1,365
561418072780605554,2022-12-15,t,$20.00,$20.00,1,365
561418072780605554,2022-12-16,t,$20.00,$20.00,1,365
561418072780605554,2022-12-17,t,$20.00,$20.00,1,365
561418072780605554,2022-12-18,t,$20.00,$20.00,1,365
561418072780605554,2022-12-19,t,$20.00,$20.00,1,365
561418072780605554,2022-12-20,t,$20.00,$20.00,1,365
561418072780605554,2022-12-21,t,$20.00,$20.00,1,365
561418072780605554,2022-12-22,t,$20.00,$20.00,1,365
561418072780605554,2022-12-23,t,$20.00,$20.00,1,365
561418072780605554,2022-12-24,t,$20.00,$20.00,1,365
561418072780605554,2022-12-25,t,$20.00,$20.00,1,365
561418072780605554,2022-12-26,t,$20.00,$20.00,1,365
561418072780605554,2022-12-27,t,$20.00,$20.00,1,365
561418072780605554,2022-12-28,t,$20.00,$20.00,1,365
561418072780605554,2022-12-29,t,$20.00,$20.00,1,365
561418072780605554,2022-12-30,t,$20.00,$20.00,1,365
561418072780605554,2022-12-31,t,$20.00,$20.00,1,365
561418072780605554,2023-01-01,t,$20.00,$20.00,1,365
561418072780605554,2023-01-02,t,$20.00,$20.00,1,365
561418072780605554,2023-01-03,t,$20.00,$20.00,1,365
561418072780605554,2023-01-04,t,$20.00,$20.00,1,365
561418072780605554,2023-01-05,t,$20.00,$20.00,1,365
561418072780605554,2023-01-06,t,$20.00,$20.00,1,365
561418072780605554,2023-01-07,t,$20.00,$20.00,1,365
561418072780605554,2023-01-08,t,$20.00,$20.00,1,365
561418072780605554,2023-01-09,t,$20.00,$20.00,1,365
561418072780605554,2023-01-10,t,$20.00,$20.00,1,365
561418072780605554,2023-01-11,t,$20.00,$20.00,1,365
561418072780605554,2023-01-12,t,$20.00,$20.00,1,365
561418072780605554,2023-01-13,t,$20.00,$20.00,1,365
561418072780605554,2023-01-14,t,$20.00,$20.00,1,365
561418072780605554,2023-01-15,t,$20.00,$20.00,1,365
561418072780605554,2023-01-16,t,$20.00,$20.00,1,365
561418072780605554,2023-01-17,t,$20.00,$20.00,1,365
561418072780605554,2023-01-18,t,$20.00,$20.00,1,365
561418072780605554,2023-01-19,t,$20.00,$20.00,1,365
561418072780605554,2023-01-20,t,$20.00,$20.00,1,365
561418072780605554,2023-01-21,t,$20.00,$20.00,1,365
561418072780605554,2023-01-22,t,$20.00,$20.00,1,365
561418072780605554,2023-01-23,t,$20.00,$20.00,1,365
561418072780605554,2023-01-24,t,$20.00,$20.00,1,365
561418072780605554,2023-01-25,t,$20.00,$20.00,1,365
561418072780605554,2023-01-26,t,$20.00,$20.00,1,365
561418072780605554,2023-01-27,t,$20.00,$20.00,1,365
561418072780605554,2023-01-28,t,$20.00,$20.00,1,365
561418072780605554,2023-01-29,t,$20.00,$20.00,1,365
561418072780605554,2023-01-30,t,$20.00,$20.00,1,365
561418072780605554,2023-01-31,t,$20.00,$20.00,1,365
349560,2022-12-01,t,$95.00,$95.00,7,1125
349560,2022-12-02,t,$95.00,$95.00,7,1125
349560,2022-12-03,t,$95.00,$95.00,7,1125
349560,2022-12-04,t,$95.00,$95.00,7,1125
349560,2022-12-05,t,$95.00,$95.00,7,1125
349560,2022-12-06,t,$95.00,$95.00,7,1125
349560,2022-12-07,t,$95.00,$95.00,7,1125
349560,2022-12-08,t,$95.00,$95.00,7,1125
349560,2022-12-09,t,$95.00,$95.00,7,1125
349560,2022-12-10,t,$95.00,$95.00,7,1125
349560,2022-12-11,t,$95.00,$95.00,7,1125
349560,2022-12-12,t,$95.00,$95.00,7,1125
349560,2022-12-13,t,$95.00,$95.00,7,1125
349560,2022-12-14,t,$95.00,$95.00,7,1125
349560,2022-12-15,t,$95.00,$95.00,7,1125
349560,2022-12-16,t,$95.00,$95.00,7,1125
349560,2022-12-17,t,$95.00,$95.00,7,1125
349560,2022-12-18,t,$95.00,$95.00,7,1125
349560,2022-12-19,t,$220.00,$220.00,7,1125
349560,2022-12-20,t,$220.00,$220.00,7,1125
349560,2022-12-21,t,$220.00,$220.00,7,1125
349560,2022-12-22,t,$220.00,$220.00,7,1125
349560,2022-12-23,t,$220.00,$220.00,7,1125
349560,2022-12-24,t,$140.00,$140.00,7,1125
349560,2022-12-25,t,$140.00,$140.00,7,1125
349560,2022-12-26,t,$140.00,$140.00,7,1125
349560,2022-12-27,t,$140.00,$140.00,7,1125
349560,2022-12-28,t,$220.00,$220.00,7,1125
349560,2022-12-29,t,$220.00,$220.00,7,1125
349560,2022-12-30,t,$220.00,$220.00,7,1125
349560,2022-12-31,t,$220.00,$220.00,7,1125
349560,2023-01-01,t,$220.00,$220.00,7,1125
349560,2023-01-02,t,$220.00,$220.00,7,1125
349560,2023-01-03,t,$220.00,$220.00,7,1125
349560,2023-01-04,t,$220.00,$220.00,7,1125
349560,2023-01-05,t,$220.00,$220.00,7,1125
349560,2023-01-06,t,$220.00,$220.00,7,1125
349560,2023-01-07,t,$220.00,$220.00,7,1125
349560,2023-01-08,t,$220.00,$220.00,7,1125
349560,2023-01-09,t,$220.00,$220.00,7,1125
349560,2023-01-10,t,$220.00,$220.00,7,1125
349560,2023-01-11,t,$95.00,$95.00,7,1125
349560,2023-01-12,t,$95.00,$95.00,7,1125
349560,2023-01-13,t,$95.00,$95.00,7,1125
349560,2023-01-14,t,$95.00,$95.00,7,1125
349560,2023-01-15,t,$95.00,$95.00,7,1125
349560,2023-01-16,t,$95.00,$95.00,7,1125
349560,2023-01-17,t,$95.00,$95.00,7,1125
349560,2023-01-18,t,$95.00,$95.00,7,1125
349560,2023-01-19,t,$95.00,$95.00,7,1125
349560,2023-01-20,t,$95.00,$95.00,7,1125
349560,2023-01-21,t,$95.00,$95.00,7,1125
349560,2023-01-22,t,$95.00,$95.00,7,1125
349560,2023-01-23,t,$95.00,$95.00,7,1125
349560,2023-01-24,t,$95.00,$95.00,7,1125
349560,2023-01-25,t,$95.00,$95.00,7,1125
349560,2023-01-26,t,$95.00,$95.00,7,1125
349560,2023-01-27,t,$95.00,$95.00,7,1125
349560,2023-01-28,t,$95.00,$95.00,7,1125
349560,2023-01-29,t,$95.00,$95.00,7,1125
349560,2023-01-30,t,$95.00,$95.00,7,1125
349560,2023-01-31,t,$95.00,$95.00,7,1125
349676,2022-12-01,t,$89.00,$89.00,31,1125
349676,2022-12-02,t,$89.00,$89.00,31,1125
349676,2022-12-03,t,$89.00,$89.00,31,1125
349676,2022-12-04,t,$89.00,$89.00,31,1125
349676,2022-12-05,t,$89.00,$89.00,31,1125
349676,2022-12-06,t,$89.00,$89.00,31,1125
349676,2022-12-07,t,$89.00,$89.00,31,1125
349676,2022-12-08,t,$89.00,$89.00,31,1125
349676,2022-12-09,t,$89.00,$89.00,31,1125
349676,2022-12-10,t,$89.00,$89.00,31,1125
349676,2022-12-11,t,$89.00,$89.00,31,1125
349676,2022-12-12,t,$89.00,$89.00,31,1125
349676,2022-12-13,t,$89.00,$89.00,31,1125
349676,2022-12-14,t,$89.00,$89.00,31,1125
349676,2022-12-15,t,$89.00,$89.00,31,1125
349676,2022-12-16,t,$89.00,$89.00,31,1125
349676,2022-12-17,t,$89.00,$89.00,31,1125
349676,2022-12-18,t,$89.00,$89.00,31,1125
349676,2022-12-19,t,$89.00,$89.00,31,1125
349676,2022-12-20,t,$89.00,$89.00,31,1125
349676,2022-12-21,t,$89.00,$89.00,31,1125
349676,2022-12-22,t,$89.00,$89.00,31,1125
349676,2022-12-23,t,$89.00,$89.00,31,1125
349676,2022-12-24,t,$89.00,$89.00,31,1125
349676,2022-12-25,t,$89.00,$89.00,31,1125
349676,2022-12-26,t,$89.00,$89.00,31,1125
349676,2022-12-27,t,$199.00,$199.00,31,1125
349676,2022-12-28,t,$199.00,$199.00,31,1125
349676,2022-12-29,t,$199.00,$199.00,31,1125
349676,2022-12-30,t,$199.00,$199.00,31,1125
349676,2022-12-31,t,$199.00,$199.00,31,1125
349676,2023-01-01,t,$199.00,$199.00,31,1125
349676,2023-01-02,t,$199.00,$199.00,31,1125
349676,2023-01-03,t,$199.00,$199.00,31,1125
349676,2023-01-04,t,$199.00,$199.00,31,1125
349676,2023-01-05,t,$199.00,$199.00,31,1125
349676,2023-01-06,t,$199.00,$199.00,31,1125
349676,2023-01-07,t,$199.00,$199.00,31,1125
349676,2023-01-08,t,$199.00,$199.00,31,1125
349676,2023-01-09,t,$89.00,$89.00,31,1125
349676,2023-01-10,t,$89.00,$89.00,31,1125
349676,2023-01-11,t,$89.00,$89.00,31,1125
349676,2023-01-12,t,$89.00,$89.00,31,1125
349676,2023-01-13,t,$89.00,$89.00,31,1125
349676,2023-01-14,t,$89.00,$89.00,31,1125
349676,2023-01-15,t,$89.00,$89.00,31,1125
349676,2023-01-16,t,$89.00,$89.00,31,1125
349676,2023-01-17,t,$89.00,$89.00,31,1125
349676,2023-01-18,t,$89.00,$89.00,31,1125
349676,2023-01-19,t,$89.00,$89.00,31,1125
349676,2023-01-20,t,$89.00,$89.00,31,1125
349676,2023-01-21,t,$89.00,$89.00,31,1125
349676,2023-01-22,t,$89.00,$89.00,31,1125
349676,2023-01-23,t,$89.00,$89.00,31,1125
349676,2023-01-24,t,$89.00,$89.00,31,1125
349676,2023-01-25,t,$89.00,$89.00,31,1125
349676,2023-01-26,t,$89.00,$89.00,31,1125
349676,2023-01-27,t,$89.00,$89.00,31,1125
349676,2023-01-28,t,$89.00,$89.00,31,1125
349676,2023-01-29,t,$89.00,$89.00,31,1125
349676,2023-01-30,t,$89.00,$89.00,31,1125
349676,2023-01-31,t,$89.00,$89.00,31,1125
349676,2023-02-01,t,$89.00,$89.00,31,1125
349676,2023-02-02,t,$89.00,$89.00,31,1125
349676,2023-02-03,t,$89.00,$89.00,31,1125
349676,2023-02-04,t,$89.00,$89.00,31,1125
349676,2023-02-05,t,$89.00,$89.00,31,1125
349676,2023-02-06,t,$89.00,$89.00,31,1125
349676,2023-02-07,t,$89.00,$89.00,31,1125
349676,2023-02-08,t,$89.00,$89.00,31,1125
349676,2023-02-09,t,$89.00,$89.00,31,1125
349676,2023-02-10,t,$89.00,$89.00,31,1125
349676,2023-02-11,t,$89.00,$89.00,31,1125
349676,2023-02-12,t,$89.00,$89.00,31,1125
349676,2023-02-13,t,$89.00,$89.00,31,1125
349676,2023-02-14,t,$89.00,$89.00,31,1125
349676,2023-02-15,t,$89.00,$89.00,31,1125
349676,2023-02-16,t,$89.00,$89.00,31,1125
349676,2023-02-17,t,$89.00,$89.00,31,1125
349676,2023-02-18,t,$89.00,$89.00,31,1125
349676,2023-02-19,t,$89.00,$89.00,31,1125
349676,2023-02-20,t,$89.00,$89.00,31,1125
349676,2023-02-21,t,$89.00,$89.00,31,1125
349676,2023-02-22,t,$89.00,$89.00,31,1125
349676,2023-02-23,t,$89.00,$89.00,31,1125
349676,2023-02-24,t,$89.00,$89.00,31,1125
349676,2023-02-25,t,$89.00,$89.00,31,1125
349676,2023-02-26,t,$89.00,$89.00,31,1125
349676,2023-02-27,t,$89.00,$89.00,31,1125
349676,2023-02-28,t,$89.00,$89.00,31,1125
349676,2023-03-01,t,$89.00,$89.00,31,1125
349676,2023-03-02,t,$89.00,$89.00,31,1125
349676,2023-03-03,t,$89.00,$89.00,31,1125
349676,2023-03-04,t,$89.00,$89.00,31,1125
349676,2023-03-05,t,$89.00,$89.00,31,1125
349676,2023-03-06,t,$89.00,$89.00,31,1125
349676,2023-03-07,t,$89.00,$89.00,31,1125
349676,2023-03-08,t,$89.00,$89.00,31,1125
349676,2023-03-09,t,$89.00,$89.00,31,1125
349676,2023-03-10,t,$89.00,$89.00,31,1125
349676,2023-03-11,t,$89.00,$89.00,31,1125
349676,2023-03-12,t,$89.00,$89.00,31,1125
349676,2023-03-13,t,$89.00,$89.00,31,1125
349676,2023-03-14,t,$89.00,$89.00,31,1125
349676,2023-03-15,t,$89.00,$89.00,31,1125
349676,2023-03-16,t,$89.00,$89.00,31,1125
349676,2023-03-17,t,$89.00,$89.00,31,1125
349676,2023-03-18,t,$89.00,$89.00,31,1125
349676,2023-03-19,t,$89.00,$89.00,31,1125
349676,2023-03-20,t,$89.00,$89.00,31,1125
349676,2023-03-21,t,$89.00,$89.00,31,1125
349676,2023-03-22,t,$89.00,$89.00,31,1125
349676,2023-03-23,t,$89.00,$89.00,31,1125
349676,2023-03-24,t,$89.00,$89.00,31,1125
349676,2023-03-25,t,$89.00,$89.00,31,1125
349676,2023-03-26,t,$89.00,$89.00,31,1125
349676,2023-03-27,t,$89.00,$89.00,31,1125
349676,2023-03-28,t,$89.00,$89.00,31,1125
349676,2023-03-29,t,$89.00,$89.00,31,1125
349676,2023-03-30,t,$89.00,$89.00,31,1125
349676,2023-03-31,t,$89.00,$89.00,31,1125
349676,2023-04-01,t,$89.00,$89.00,31,1125
349676,2023-04-02,t,$89.00,$89.00,31,1125
349676,2023-04-03,t,$89.00,$89.00,31,1125
349676,2023-04-04,t,$89.00,$89.00,31,1125
349676,2023-04-05,t,$89.00,$89.00,31,1125
349676,2023-04-06,t,$89.00,$89.00,31,1125
349676,2023-04-07,t,$89.00,$89.00,31,1125
349676,2023-04-08,t,$89.00,$89.00,31,1125
349676,2023-04-09,t,$89.00,$89.00,31,1125
349676,2023-04-10,t,$89.00,$89.00,31,1125
349676,2023-04-11,t,$89.00,$89.00,31,1125
349676,2023-04-12,t,$89.00,$89.00,31,1125
349676,2023-04-13,t,$89.00,$89.00,31,1125
349676,2023-04-14,t,$89.00,$89.00,31,1125
349676,2023-04-15,t,$89.00,$89.00,31,1125
349676,2023-04-16,t,$89.00,$89.00,31,1125
349676,2023-04-17,t,$89.00,$89.00,31,1125
349676,2023-04-18,t,$89.00,$89.00,31,1125
349676,2023-04-19,t,$89.00,$89.00,31,1125
349676,2023-04-20,t,$89.00,$89.00,31,1125
349676,2023-04-21,t,$89.00,$89.00,31,1125
349676,2023-04-22,t,$89.00,$89.00,31,1125
349676,2023-04-23,t,$89.00,$89.00,31,1125
349676,2023-04-24,t,$89.00,$89.00,31,1125
349676,2023-04-25,t,$89.00,$89.00,31,1125
349676,2023-04-26,t,$89.00,$89.00,31,1125
349676,2023-04-27,t,$89.00,$89.00,31,1125
349676,2023-04-28,t,$89.00,$89.00,31,1125
349676,2023-04-29,t,$89.00,$89.00,31,1125
349676,2023-04-30,t,$89.00,$89.00,31,1125
349676,2023-05-01,t,$89.00,$89.00,31,1125
349676,2023-05-02,t,$89.00,$89.00,31,1125
349676,2023-05-03,t,$89.00,$89.00,31,1125
349676,2023-05-04,t,$89.00,$89.00,31,1125
349676,2023-05-05,t,$89.00,$89.00,31,1125
349676,2023-05-06,t,$89.00,$89.00,31,1125
349676,2023-05-07,t,$89.00,$89.00,31,1125
349676,2023-05-08,t,$89.00,$89.00,31,1125
349676,2023-05-09,t,$89.00,$89.00,31,1125
349676,2023-05-10,t,$89.00,$89.00,31,1125
349676,2023-05-11,t,$89.00,$89.00,31,1125
349676,2023-05-12,t,$89.00,$89.00,31,1125
349676,2023-05-13,t,$89.00,$89.00,31,1125
349676,2023-05-14,t,$89.00,$89.00,31,1125
349676,2023-05-15,t,$89.00,$89.00,31,1125
349676,2023-05-16,t,$89.00,$89.00,31,1125
349676,2023-05-17,t,$89.00,$89.00,31,1125
349676,2023-05-18,t,$89.00,$89.00,31,1125
349676,2023-05-19,t,$89.00,$89.00,31,1125
349676,2023-05-20,t,$89.00,$89.00,31,1125
349676,2023-05-21,t,$89.00,$89.00,31,1125
349676,2023-05-22,t,$89.00,$89.00,31,1125
349676,2023-05-23,t,$89.00,$89.00,31,1125
349676,2023-05-24,t,$89.00,$89.00,31,1125
349676,2023-05-25,t,$89.00,$89.00,31,1125
349676,2023-05-26,t,$89.00,$89.00,31,1125
349676,2023-05-27,t,$89.00,$89.00,31,1125
349676,2023-05-28,t,$89.00,$89.00,31,1125
349676,2023-05-29,t,$89.00,$89.00,31,1125
349676,2023-05-30,t,$89.00,$89.00,31,1125
349676,2023-05-31,t,$89.00,$89.00,31,1125
349676,2023-06-01,t,$89.00,$89.00,31,1125
349676,2023-06-02,t,$89.00,$89.00,31,1125
349676,2023-06-03,t,$89.00,$89.00,31,1125
349676,2023-06-04,t,$89.00,$89.00,31,1125
349676,2023-06-05,t,$89.00,$89.00,31,1125
349676,2023-06-06,t,$89.00,$89.00,31,1125
358058,2022-06-07,f,$28.00,$28.00,1,200
358058,2022-06-08,f,$28.00,$28.00,1,200
358058,2022-06-09,f,$28.00,$28.00,1,200
358058,2022-06-10,f,$28.00,$28.00,1,200
358058,2022-06-11,f,$28.00,$28.00,1,200
358058,2022-06-12,f,$28.00,$28.00,1,200
358058,2022-06-13,f,$28.00,$28.00,1,200
358058,2022-06-14,f,$28.00,$28.00,1,200
358058,2022-06-15,f,$28.00,$28.00,1,200
358058,2022-06-16,f,$28.00,$28.00,1,200
358058,2022-06-17,f,$28.00,$28.00,1,200
358058,2022-06-18,f,$28.00,$28.00,1,200
358058,2022-06-19,f,$28.00,$28.00,1,200
358058,2022-06-20,f,$28.00,$28.00,1,200
358058,2022-06-21,f,$28.00,$28.00,1,200
358058,2022-06-22,f,$28.00,$28.00,1,200
358058,2022-06-23,f,$28.00,$28.00,1,200
358058,2022-06-24,f,$28.00,$28.00,1,200
358058,2022-06-25,f,$28.00,$28.00,1,200
358058,2022-06-26,f,$28.00,$28.00,1,200
358058,2022-06-27,f,$28.00,$28.00,1,200
358058,2022-06-28,f,$28.00,$28.00,1,200
358058,2022-06-29,f,$28.00,$28.00,1,200
358058,2022-06-30,f,$28.00,$28.00,1,200
358058,2022-07-01,f,$28.00,$28.00,1,200
358058,2022-07-02,f,$28.00,$28.00,1,200
358058,2022-07-03,f,$28.00,$28.00,1,200
358058,2022-07-04,t,$28.00,$28.00,1,200
358058,2022-07-05,t,$28.00,$28.00,1,200
358058,2022-07-06,t,$28.00,$28.00,1,200
358058,2022-07-07,t,$28.00,$28.00,1,200
358058,2022-07-08,t,$28.00,$28.00,1,200
358058,2022-07-09,f,$28.00,$28.00,1,200
358058,2022-07-10,f,$28.00,$28.00,1,200
358058,2022-07-11,f,$28.00,$28.00,1,200
358058,2022-07-12,f,$28.00,$28.00,1,200
358058,2022-07-13,f,$28.00,$28.00,1,200
358058,2022-07-14,f,$28.00,$28.00,1,200
358058,2022-07-15,f,$28.00,$28.00,1,200
358058,2022-07-16,f,$28.00,$28.00,1,200
358058,2022-07-17,f,$28.00,$28.00,1,200
358058,2022-07-18,f,$28.00,$28.00,1,200
358058,2022-07-19,f,$28.00,$28.00,1,200
358058,2022-07-20,f,$28.00,$28.00,1,200
358058,2022-07-21,f,$28.00,$28.00,1,200
358058,2022-07-22,f,$28.00,$28.00,1,200
358058,2022-07-23,f,$28.00,$28.00,1,200
358058,2022-07-24,f,$28.00,$28.00,1,200
358058,2022-07-25,f,$28.00,$28.00,1,200
358058,2022-07-26,f,$28.00,$28.00,1,200
358058,2022-07-27,f,$28.00,$28.00,1,200
358058,2022-07-28,f,$28.00,$28.00,1,200
358058,2022-07-29,f,$28.00,$28.00,1,200
358058,2022-07-30,f,$28.00,$28.00,1,200
358058,2022-07-31,f,$28.00,$28.00,1,200
358058,2022-08-01,f,$28.00,$28.00,1,200
358058,2022-08-02,f,$28.00,$28.00,1,200
358058,2022-08-03,f,$28.00,$28.00,1,200
358058,2022-08-04,f,$28.00,$28.00,1,200
358058,2022-08-05,f,$28.00,$28.00,1,200
358058,2022-08-06,f,$28.00,$28.00,1,200
358058,2022-08-07,f,$28.00,$28.00,1,200
358058,2022-08-08,f,$28.00,$28.00,1,200
358058,2022-08-09,f,$28.00,$28.00,1,200
